policy,transaction_cost_bps,cum_ret,ann_ret,ann_vol,sharpe,sortino,max_dd,total_fees,total_turnover,final_value,n_steps
Agent_DoubleDQN,0.0,0.7589151282521016,0.039746190748136456,0.0932704620132519,0.4261390544103745,0.5294381741876341,-0.20077187314607967,0.0,40.33333396911621,17589.151282521016,3651
Random,0.0,0.8354004613953796,0.04280541764657286,0.0780235185281531,0.5486219151332979,0.6738556388185462,-0.14976090017521343,0.0,4780.500002741814,18354.004613953795,3651
HoldCash,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,0.0,0.6300067419337019,0.034298217486494975,0.11016404294618996,0.31133765115965795,0.4069582118108434,-0.29627889184779616,0.0,2.0,16300.06741933702,3651
EqualWeight,0.0,0.7206613166711384,0.03816936991309583,0.09391241615811423,0.4064357771870631,0.4980110277023,-0.21070554914245446,0.0,2.0,17206.613166711384,3651
SMA,0.0,0.6027197935072917,0.033093714746359026,0.07763815937687354,0.4262557323539472,0.4304595915546245,-0.16167200138273316,0.0,1064.0,16027.197935072916,3651
Agent_DoubleDQN,10.0,0.27096462219474926,0.016687582254684585,0.05590167754205875,0.29851660993470636,0.37500140893563627,-0.12707281520008293,566.4242794743975,45.666667342185974,12709.646221947492,3651
Random,10.0,-0.9846451622068726,-0.25043261451789633,0.07862790818103456,-3.1850342767729787,-4.246197580869155,-0.9848947189975092,11669.326873593007,4780.500002741814,153.5483779312743,3651
HoldCash,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,10.0,0.6267423361420563,0.034155112614381755,0.11016717953127571,0.31002980796460594,0.40529718869189546,-0.2962788918477941,20.0,2.0,16267.423361420562,3651
EqualWeight,10.0,0.7172159089708865,0.03802575244172757,0.0939158727516077,0.404891604355139,0.49618265242432613,-0.2107055491424523,20.0,2.0,17172.159089708864,3651
SMA,10.0,-0.44738857963170986,-0.04011046816949193,0.0783235405777591,-0.5121124856267915,-0.5708913561086914,-0.456798070711124,8056.952634986181,1064.0,5526.1142036829015,3651
